   Compiling chr-direct-conditional v0.1.0 (/home/ahart/Documents/CHRLang/research/chr-direct-conditional)
warning: associated function `new` is never used
  --> research/chr-direct-conditional/tests/composition_support/mod.rs:15:12
   |
14 | impl Engine {
   | ----------- associated function in this implementation
15 |     pub fn new(mode: usize, rules: &[Rule], query: &Query) -> Self {
   |            ^^^
   |
   = note: `#[warn(dead_code)]` (part of `#[warn(unused)]`) on by default

warning: `chr-direct-conditional` (test "broad_mixed") generated 1 warning
    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.42s
     Running tests/broad_mixed.rs (target/debug/deps/broad_mixed-c2f9ff4803ee5fa0)

running 1 test
qualified early n=1 seed=1 mode=3
qualified early n=1 seed=1 mode=4
qualified early n=1 seed=1 mode=5
qualified early n=1 seed=1 mode=6
qualified early n=3 seed=0 mode=0
qualified early n=3 seed=0 mode=1
qualified early n=3 seed=0 mode=2
qualified early n=3 seed=0 mode=3
qualified early n=3 seed=0 mode=4
qualified early n=3 seed=0 mode=5
qualified early n=3 seed=0 mode=6
qualified early n=3 seed=1 mode=0
qualified early n=3 seed=1 mode=1
qualified early n=3 seed=1 mode=2
qualified early n=3 seed=1 mode=3
qualified early n=3 seed=1 mode=4
qualified early n=3 seed=1 mode=5
qualified early n=3 seed=1 mode=6
qualified late n=0 seed=0 mode=0
qualified late n=0 seed=0 mode=1
qualified late n=0 seed=0 mode=2
qualified late n=0 seed=0 mode=3
qualified late n=0 seed=0 mode=4
qualified late n=0 seed=0 mode=5
qualified late n=0 seed=0 mode=6
qualified late n=0 seed=1 mode=0
qualified late n=0 seed=1 mode=1
qualified late n=0 seed=1 mode=2
qualified late n=0 seed=1 mode=3
qualified late n=0 seed=1 mode=4
qualified late n=0 seed=1 mode=5
qualified late n=0 seed=1 mode=6
qualified late n=1 seed=0 mode=0
qualified late n=1 seed=0 mode=1
qualified late n=1 seed=0 mode=2
qualified late n=1 seed=0 mode=3
qualified late n=1 seed=0 mode=4
qualified late n=1 seed=0 mode=5
qualified late n=1 seed=0 mode=6
qualified late n=1 seed=1 mode=0
qualified late n=1 seed=1 mode=1
qualified late n=1 seed=1 mode=2
